Query,Execution Times
Query 1,189000,182600,168200,148000,244000,165100,161500,170500,145400,145000,144400,144900,155000,142500,141300,141700,148800,190000,181600,213400,179800,161100,182700,167200,142500,188400,190800,173000,178300,155200
Query 2,147500,143300,144000,143500,155500,145100,143300,142900,141000,142000,158800,143400,141700,140900,140700,153400,153100,212800,157600,149000,160600,171600,144500,142800,140700,141100,143500,156100,142700,142900
Query 3,145500,156100,167000,203000,237200,176500,201800,229400,207400,212700,158900,150600,230200,157200,149800,187100,202800,164500,150300,149200,147600,149800,171600,146300,145200,148400,148400,160600,150800,149000
Query 4,148600,159900,147900,175500,146700,148500,159900,147200,146000,196600,214000,211300,174900,152600,221500,205500,180500,172000,198200,208600,180600,166800,153500,176400,221700,242700,190400,153200,152900,170000
