Query,Execution Times
Query 1,793900,309100,261800,249800,247900,247300,260900,234000,226300,233000,225000,222500,203100,202800,203800,199300,211700,238100,226400,249000,200200,216300,197000,198600,197000,201400,223400,199300,196700,199400
Query 2,202400,217500,199500,205100,251400,209400,220900,211600,218200,212200,215000,223500,237900,205300,213500,210300,221600,228800,212800,211800,201800,199700,264000,256800,206400,189200,197400,197700,189700,187900
Query 3,213500,187300,189100,183300,182200,194100,242000,173900,149700,146100,156400,146800,145000,155500,146400,156200,144300,143700,143200,170300,187500,150000,145600,155500,143000,155400,156700,143600,142400,144000
Query 4,205900,202500,183500,149400,144300,143500,154800,145000,143600,143700,142600,154200,143000,142900,141400,142300,142500,144000,141200,139900,142100,152000,160500,142700,140600,140900,140300,144400,140600,143000
