Query,Execution Times
Query 1,294200,226100,200000,194400,186600,199000,181900,178500,178700,187600,192000,178500,177700,173100,177000,203600,197400,193300,175700,174500,183100,175500,191400,203000,210900,200900,235500,201500,241500,193200
Query 2,194300,199100,206200,189300,192300,191700,243400,260000,195300,197000,181100,148400,186500,188500,212500,217900,161300,151700,156900,156700,203700,235700,350300,233300,214000,212900,187500,231700,235700,214000
Query 3,230300,237500,206100,195100,175600,180200,216500,235200,232300,230200,253900,238700,205500,225600,171100,181600,210600,219800,191800,148500,158500,149600,144200,141700,141100,155600,144700,143300,158700,144300
Query 4,157100,145300,144700,145700,154800,145200,144600,148300,230700,216400,252300,176000,163500,202200,151400,160600,158000,198100,191600,148000,144800,158900,146200,161600,146100,143500,155900,143700,143600,141700
