Query,Execution Times
Query 1,308900,164900,184300,222000,210900,154500,164300,207200,234900,202100,180900,169700,212700,231600,252500,207100,216300,204700,253500,284300,269000,223200,249000,267600,168100,194600,248500,247000,250000,248700
Query 2,244700,217200,205100,217400,197500,189600,188600,172200,173500,167500,171500,179900,197500,193300,202900,195700,182700,175500,173700,242200,220300,225400,225500,223900,215600,220700,222200,215500,216500,206700
Query 3,236900,236600,232500,257000,229800,246900,211300,213000,203100,203500,217800,207500,203200,205200,207600,240500,206800,189400,173100,171700,172700,179800,187200,170600,178200,173300,146700,157100,180500,171700
Query 4,193100,175900,170800,222500,222100,181200,174700,173800,172400,182900,173000,174200,172500,171600,221100,175600,175200,175500,169900,183300,174500,174200,175600,210000,204100,318000,245400,212700,197600,159600
